0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 3, 1, 0, 1, 4, 2, 1, 0, 3, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 0, 2, 0, 6, 0, 1, 2, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 3, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 4, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0
0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0
0, 0, 0, 4, 0, 0, 0, 1, 0, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2, 4, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0
0, 0, 0, 11, 1, 0, 0, 6, 0, 2, 0, 1, 0, 0, 3, 0, 1, 0, 6, 0, 0, 0, 0, 2, 0, 1, 5, 5, 1, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 0, 0, 1, 0, 3, 2, 0, 1, 0, 1, 0, 1, 3, 0, 2, 4, 2, 2, 0, 1, 2, 1, 0, 1, 0, 0, 5, 1, 0, 1, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0
1, 0, 0, 2, 2, 0, 4, 1, 0, 2, 0, 3, 0, 0, 0, 7, 2, 0, 3, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 3, 0, 0, 0, 0, 2, 0, 3, 0, 0, 1, 1, 6, 4, 1, 0, 1, 2, 0, 2, 0, 4, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 3, 0, 3, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0
0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 6, 0, 0, 2, 1, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 0, 0, 0, 0, 0, 2, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 2, 0, 1, 4, 0, 0, 2, 3, 4, 0, 2, 0, 5, 5, 7, 1, 0, 0, 0, 0, 8, 1, 2, 3, 5, 0, 2, 0, 0, 2, 3, 15, 1, 0, 0, 10, 0, 16, 1, 0, 0, 0, 5, 5, 12, 3, 14, 1, 1, 0, 1, 35, 0, 2, 2, 0, 0, 1, 0, 4, 0, 0, 5, 0, 1, 11, 0, 1, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0
4, 0, 0, 5, 0, 0, 11, 0, 1, 1, 0, 1, 0, 0, 2, 2, 0, 1, 5, 0, 0, 0, 2, 1, 0, 0, 4, 0, 3, 0, 0, 0, 1, 0, 3, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4, 0, 0, 8, 8, 2, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0, 2, 0, 0, 1, 1, 1, 0, 0, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
0, 0, 0, 1, 0, 0, 5, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 4, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 6, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 12, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
0, 0, 0, 21, 0, 1, 4, 1, 0, 4, 0, 1, 1, 0, 0, 1, 4, 2, 10, 0, 0, 0, 0, 0, 1, 1, 2, 0, 8, 0, 2, 0, 0, 1, 0, 4, 0, 1, 0, 0, 0, 0, 8, 5, 1, 0, 1, 3, 0, 4, 0, 0, 0, 0, 1, 11, 0, 1, 0, 0, 0, 0, 0, 4, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 3, 0, 0, 11, 0, 15, 0, 0, 4, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 9, 0, 1, 0, 0, 2, 3, 0, 0, 0, 5, 2, 1, 1, 1, 0, 0, 4, 0, 0, 3, 2, 0, 0, 0, 6, 6, 1, 0, 0, 0, 0, 5, 0, 0, 2, 0, 1, 0, 1, 0, 0, 0, 2, 0, 0, 2, 12, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 2, 0, 1, 0, 3, 0, 3, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2, 1, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 6, 0, 0, 0, 0, 2, 1, 0, 0, 7, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 23, 1, 0, 11, 0, 0, 3, 0, 5, 0, 0, 0, 0, 3, 0, 9, 0, 0, 1, 2, 0, 3, 0, 3, 1, 0, 0, 5, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 2, 1, 1, 0, 1, 6, 2, 1, 0, 3, 0, 0, 1, 9, 0, 4, 1, 0, 0, 1, 0, 9, 0, 2, 1, 0, 2, 18, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 6, 0, 1, 0, 0, 0, 1
0, 0, 0, 15, 0, 0, 4, 0, 3, 0, 0, 2, 3, 0, 3, 6, 5, 0, 6, 0, 0, 0, 3, 1, 0, 0, 2, 0, 8, 0, 8, 0, 7, 1, 0, 7, 1, 0, 0, 0, 0, 2, 0, 6, 1, 0, 0, 4, 2, 3, 2, 5, 1, 1, 10, 4, 2, 1, 2, 0, 1, 1, 0, 3, 0, 7, 0, 0, 0, 11, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0
0, 0, 0, 10, 0, 1, 0, 0, 1, 5, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0
0, 0, 0, 5, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 2, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 1, 11, 0, 0, 0, 1, 0, 2, 0, 1, 0, 0, 2, 1, 2, 2, 4, 0, 0, 0, 2, 2, 1, 2, 3, 3, 8, 0, 2, 0, 1, 6, 1, 0, 0, 0, 0, 0, 0, 6, 4, 2, 1, 2, 6, 10, 1, 2, 5, 1, 0, 0, 5, 20, 3, 1, 0, 0, 0, 2, 1, 3, 0, 1, 0, 0, 0, 3, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1
1, 0, 0, 4, 0, 0, 0, 1, 4, 0, 0, 3, 2, 0, 0, 0, 3, 0, 6, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 2, 0, 3, 1, 0, 0, 0, 2, 0, 4, 0, 0, 1, 3, 0, 0, 0, 2, 0, 3, 0, 5, 0, 0, 1, 16, 0, 0, 0, 0, 0, 1, 1, 10, 0, 0, 0, 0, 1, 16, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0
0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 4, 0, 0, 0, 0, 0, 1, 0, 0, 7, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 4, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 5, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 0, 4, 0, 0, 0, 2, 0, 1, 7, 0, 0, 0, 5, 2, 0, 0, 5, 3, 1, 0, 1, 0, 0, 1, 5, 1, 0, 0, 0, 4, 0, 0, 0, 5, 0, 2, 0, 6, 1, 0, 0, 0, 0, 1, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 6, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 5, 3, 1, 0, 0, 0, 1
0, 0, 0, 3, 0, 0, 2, 0, 7, 1, 0, 4, 8, 0, 1, 0, 4, 0, 3, 3, 0, 1, 4, 1, 0, 2, 0, 0, 0, 0, 0, 0, 4, 0, 3, 3, 0, 0, 0, 1, 0, 0, 0, 2, 2, 0, 0, 2, 3, 4, 0, 0, 0, 0, 3, 12, 0, 3, 1, 0, 0, 0, 1, 3, 0, 0, 0, 0, 0, 7, 1, 0, 0, 0, 0, 2, 0, 1, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0
0, 0, 0, 2, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 4, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 1, 0, 0, 0, 2, 0, 2, 0, 0, 2, 0, 3, 2, 0, 2, 2, 0, 0, 0, 3, 0, 5, 0, 1, 5, 11, 0, 8, 0, 0, 0, 8, 2, 1, 0, 0, 5, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 25, 2, 0, 0, 9, 0, 0, 0, 0, 7, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
0, 0, 1, 0, 3, 0, 0, 1, 2, 2, 0, 3, 2, 0, 1, 3, 0, 3, 6, 1, 0, 0, 10, 0, 4, 0, 4, 1, 2, 0, 0, 0, 4, 0, 3, 7, 0, 0, 0, 0, 0, 0, 5, 1, 2, 0, 1, 13, 0, 6, 0, 1, 0, 2, 5, 6, 0, 1, 1, 0, 1, 0, 1, 10, 0, 0, 0, 0, 1, 4, 0, 3, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 1
0, 1, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 11, 0, 0, 0, 3, 0, 0, 0, 1, 2, 0, 0, 1, 3, 3, 0, 0, 0, 1, 4, 2, 0, 1, 4, 6, 2, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 0, 1, 9, 2, 0, 0, 1, 8, 6, 2, 1, 0, 0, 0, 4, 10, 3, 1, 1, 0, 0, 0, 0, 9, 0, 0, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 4, 0, 0, 0, 1
0, 0, 0, 1, 1, 0, 0, 0, 3, 0, 0, 2, 1, 0, 3, 0, 1, 2, 2, 7, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 3, 0, 0, 4, 0, 3, 0, 0, 0, 0, 4, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
0, 0, 0, 11, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 1, 2, 0, 0, 2, 0, 0, 0, 1, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
1, 1, 1, 4, 0, 8, 0, 0, 0, 0, 0, 0, 4, 1, 0, 2, 1, 2, 0, 0, 0, 0, 2, 0, 1, 0, 3, 0, 0, 0, 0, 8, 0, 0, 4, 4, 0, 0, 1, 1, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 14, 0, 0, 1, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
14, 0, 0, 4, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 1, 0, 1, 0, 4, 2, 1, 2, 2, 0, 0, 1, 4, 3, 1, 2, 2, 0, 0, 13, 0, 0, 0, 7, 0, 0, 0, 2, 7, 0, 2, 3, 0, 1, 1, 0, 0, 1, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 2
1, 0, 0, 7, 0, 0, 1, 3, 8, 0, 0, 0, 0, 0, 0, 0, 3, 2, 0, 11, 0, 2, 8, 0, 0, 0, 0, 1, 1, 0, 0, 0, 11, 1, 0, 6, 0, 0, 0, 10, 0, 4, 0, 0, 0, 0, 0, 2, 7, 1, 4, 0, 0, 0, 7, 3, 0, 3, 7, 0, 5, 0, 4, 4, 0, 1, 5, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 0, 0, 4, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 5, 0, 0, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 29, 0, 0, 4, 1, 4, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 2, 5, 1, 0, 0, 0, 3, 0, 0, 2, 4, 0, 0, 0, 18, 10, 9, 6, 0, 0, 1, 0, 4, 0, 1, 0, 0, 0, 2, 0, 4, 1, 1, 8, 0, 0, 0, 2, 0, 0, 15, 6, 1, 0, 0, 6, 1, 1, 0, 0, 0, 1, 3, 0, 0, 14, 0, 0, 3, 0, 2, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 1
0, 0, 10, 1, 0, 0, 0, 3, 5, 2, 0, 3, 1, 0, 0, 0, 3, 0, 29, 8, 0, 0, 2, 0, 0, 0, 0, 1, 3, 0, 3, 0, 9, 1, 0, 1, 0, 0, 0, 2, 0, 2, 0, 1, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 7, 0, 1, 5, 0, 0, 6, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 9, 0, 3, 0, 1, 0, 0
0, 0, 4, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 6, 0, 0, 4, 0, 3, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 2, 0, 1, 2, 0, 0, 0, 3, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0
0, 0, 1, 5, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 2, 3, 0, 0, 0, 3, 1, 0, 0, 1, 1, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 5, 0, 0, 0, 0, 0, 1, 5, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1
4, 0, 1, 10, 7, 0, 3, 11, 0, 5, 0, 0, 6, 0, 0, 2, 3, 1, 1, 3, 0, 1, 1, 1, 0, 1, 7, 26, 8, 0, 4, 0, 0, 2, 1, 7, 1, 0, 0, 0, 0, 0, 1, 0, 2, 0, 7, 14, 3, 0, 1, 5, 0, 0, 4, 27, 3, 1, 0, 1, 2, 0, 3, 3, 0, 3, 15, 0, 0, 1, 1, 9, 3, 0, 1, 2, 2, 0, 3, 0, 0, 1, 1, 5, 0, 2, 0, 2
2, 1, 17, 2, 1, 1, 4, 4, 7, 8, 0, 1, 4, 0, 2, 0, 9, 0, 0, 1, 0, 4, 6, 0, 0, 1, 1, 3, 8, 0, 0, 0, 14, 2, 2, 13, 1, 0, 0, 26, 0, 2, 2, 0, 1, 0, 0, 4, 2, 0, 2, 1, 1, 0, 4, 5, 0, 15, 1, 4, 0, 0, 0, 10, 0, 7, 1, 0, 0, 3, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 13
0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 7, 1, 0, 3, 1, 0, 1, 0, 0, 0, 3, 0, 0, 1, 2, 0, 0, 0, 4, 0, 0, 0, 2, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0
2, 0, 1, 2, 5, 0, 0, 3, 2, 0, 1, 1, 11, 3, 0, 0, 1, 6, 0, 1, 0, 0, 0, 2, 2, 0, 0, 2, 1, 1, 0, 0, 1, 0, 0, 15, 0, 0, 2, 2, 0, 0, 1, 3, 1, 0, 0, 0, 4, 0, 0, 0, 0, 0, 13, 9, 0, 0, 3, 5, 5, 0, 1, 0, 0, 5, 0, 1, 0, 1, 0, 4, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 8, 0, 0, 0, 0
